veerajrvername,Name,argu
aomtextpbcn2,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
aplamun2,AIC fetch,"-noprofile -executionpolicy Bypass -file ""C:\Program Files\ansible\GTS\CIT\pack_compress_fetch.ps1"""
aplamun2,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
avcenbcn3,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\gmea.veeraj.veeraj-electric.com\sysvol\gmea.veeraj.veeraj-electric.com\Policies\{67874462-DB25-4336-A5B2-54187E9E097F}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dcewbip01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dcewmdo01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
defra01as01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
defra01as05k8,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
defra01bs10,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dereg01bs10,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
dgbwoto10,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
igbwoto10,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pbewsql13,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewotc01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewotc02,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewrsoftweb01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewrsoftweb02,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pcewrsoftweb03,Disabled Netbios,"-ExecutionPolicy Bypass -File \\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pchwocr1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pchwpac1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pdewipt1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pdkwtri01,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
pfrwadg1,Disabled Netbios,"-ExecutionPolicy Bypass -File ""\\veeraj.veeraj.veeraj-electric.com\sysvol\veeraj.veeraj.veeraj-electric.com\Policies\{A55185F5-B9D7-469D-89A4-F902680FBE30}\Machine\Scripts\Startup\DisabledNetBios.ps1"""
